game_id,referee_id,date,start,visitor_team,visitor_points,home_team,home_points,overtime,attendence
315,16,"Wed, Dec 4, 2019",10:00p,Sacramento Kings,116,Portland Trail Blazers,127,,"19,393"
316,52,"Thu, Dec 5, 2019",7:00p,Philadelphia 76ers,113,Washington Wizards,119,,"16,554"
317,37,"Thu, Dec 5, 2019",7:30p,Denver Nuggets,129,New York Knicks,92,,"18,171"
318,70,"Thu, Dec 5, 2019",7:30p,Houston Rockets,119,Toronto Raptors,109,,"19,800"
319,51,"Thu, Dec 5, 2019",8:00p,Phoenix Suns,139,New Orleans Pelicans,132,OT,"15,607"
320,65,"Fri, Dec 6, 2019",7:00p,Brooklyn Nets,111,Charlotte Hornets,104,,"15,075"
321,39,"Fri, Dec 6, 2019",7:00p,Orlando Magic,93,Cleveland Cavaliers,87,,"18,446"
322,33,"Fri, Dec 6, 2019",7:00p,Indiana Pacers,101,Detroit Pistons,108,,"14,894"
323,70,"Fri, Dec 6, 2019",8:00p,Denver Nuggets,95,Boston Celtics,108,,"19,156"
324,13,"Fri, Dec 6, 2019",8:00p,Golden State Warriors,100,Chicago Bulls,98,,"18,841"
325,32,"Fri, Dec 6, 2019",8:00p,Washington Wizards,103,Miami Heat,112,,"19,600"
326,27,"Fri, Dec 6, 2019",8:00p,Minnesota Timberwolves,127,Oklahoma City Thunder,139,OT,"18,203"
327,29,"Fri, Dec 6, 2019",8:30p,Los Angeles Clippers,91,Milwaukee Bucks,119,,"17,732"
328,49,"Fri, Dec 6, 2019",8:30p,Sacramento Kings,104,San Antonio Spurs,105,OT,"18,354"
329,24,"Fri, Dec 6, 2019",10:30p,Los Angeles Lakers,136,Portland Trail Blazers,113,,"19,912"
