player_id,name,field_goal_percentage,three_point_percentage,free_throw_percentage,rebounds,assists,steals,blocks,turnovers,points
73,Trey Burke,0.348,0.385,0.75,1.4,2.9,0.4,0.1,0.5,5.4
74,Alec Burks,0.419,0.349,0.878,4.4,2.8,1,0.3,1.4,15
75,Deonte Burton,0.394,0.294,0.75,1.8,0.3,0.1,0.1,0.3,2.8
76,Jimmy Butler,0.444,0.328,0.847,6.3,6.8,2.3,0.8,2.6,20.5
77,Bruno Caboclo,0.396,0.158,0.667,2.5,0.6,0.5,0.8,0.5,3.6
78,Kentavious Caldwell-Pope,0.451,0.388,0.818,2.1,1.6,0.8,0.2,0.8,7.9
79,Vlatko Cancar,,,,0,0,0,0,0,0
80,Clint Capela,0.64,,0.469,14.9,1.1,0.9,1.9,1.7,14.5
81,DeMarre Carroll,0.28,0.25,0.714,2.6,0.9,0.2,0.2,0.8,2.5
82,Jevon Carter,0.4,0.412,1,1.8,1.9,0.9,0.3,1,4.1
83,Vince Carter,0.341,0.246,0.75,1.9,0.7,0.4,0.3,0.6,4.9
84,Wendell Carter,0.564,0.133,0.697,10,0.9,0.7,0.9,1.6,12.3
85,Michael Carter-Williams,0.315,0.158,0.826,3.3,1.8,0.8,0.5,1,4.7
86,Alex Caruso,0.438,0.326,0.688,2,1.9,1,0.3,1.1,5.2
87,Willie Cauley-Stein,0.55,,0.64,6.5,1.6,1,1.2,1,7.6
88,Tyson Chandler,0.765,,0.556,2.7,0.3,0.3,0.4,0.3,1.7
89,Zylan Cheatham,0.25,0,,1.5,0.5,0,0,0.5,1
90,Chris Chiozza,0.176,0.5,,1,2.6,0.7,0.3,0.9,1.1
91,Marquese Chriss,0.48,0.222,0.86,4.7,2,0.7,1,1.5,7.2
92,Gary Clark,0.364,0.278,,2.4,0.7,0.1,0.1,0.1,3
93,Brandon Clarke,0.63,0.455,0.826,5.9,1.3,0.5,0.9,1.1,11.8
94,Jordan Clarkson,0.41,0.346,0.886,2.1,2.5,0.5,0.3,1.3,13.7
95,Nicolas Claxton,0.524,0,0.417,2.4,1.2,0.1,0.6,0.7,3
96,Chris Clemons,0.414,0.391,0.75,0.7,0.4,0.2,0.1,0.4,4.6
97,John Collins,0.525,0.474,0.706,8.8,1.6,1,2,1.4,17
98,Zach Collins,0.474,0.429,1,4,2,0,0.7,2,9
99,Mike Conley,0.369,0.374,0.795,3.5,4.6,0.7,0.2,2.1,13.9
100,Pat Connaughton,0.5,0.346,0.765,4,1.9,0.3,0.5,0.6,6
101,Quinn Cook,0.432,0.353,0.8,1.2,1.5,0.3,0.1,0.8,5.2
102,Tyler Cook,0.833,,1,0.8,0,0.2,0,0.2,2
103,Robert Covington,0.46,0.368,0.886,5.5,1.2,1.3,0.9,1.6,12.8
104,Allen Crabbe,0.37,0.242,0.714,2.7,0.9,0.5,0.2,0.4,5.3
105,Torrey Craig,0.341,0.2,0.444,2.5,1.1,0.4,0.8,0.4,2.6
106,Jae Crowder,0.398,0.333,0.707,6,2.8,0.8,0.4,1.4,10.8
107,Jarrett Culver,0.369,0.259,0.435,3.3,2.3,1,0.5,1.3,9.2
108,Seth Curry,0.43,0.382,0.929,1.8,1.6,0.6,0.2,0.8,8.4
109,Stephen Curry,0.409,0.243,1,5,6.5,1.3,0.5,3.8,20.3
110,Troy Daniels,0.375,0.348,0.75,1.4,0.4,0.4,0.1,0.3,5.1
111,Anthony Davis,0.494,0.342,0.863,9.1,3.1,1.4,2.7,2.3,26.6
112,Ed Davis,0.444,,0.5,4.9,0.4,0.2,0.6,0.9,1.9
113,Terence Davis,0.481,0.424,0.933,3,1.9,0.4,0.3,0.7,6.7
114,Dewayne Dedmon,0.408,0.229,0.846,4,0.4,0.4,0.5,1.5,5
115,Matthew Dellavedova,0.276,0.114,0.923,1.4,2.2,0.4,0.1,0.8,2.5
116,DeMar DeRozan,0.508,0.357,0.813,5.7,4.8,1,0.5,2.6,21.4
117,Cheick Diallo,0.796,1,0.882,2.9,0.5,0.1,0.3,0.5,6.3
118,Hamidou Diallo,0.5,0.154,0.611,3.8,0.8,1.5,0.3,1.2,8.8
119,Gorgui Dieng,0.438,0.32,0.75,4.2,1.2,0.7,1,0.6,4.9
120,Spencer Dinwiddie,0.418,0.319,0.852,2.9,6.1,0.9,0.5,2.7,20.5
121,Donte DiVincenzo,0.421,0.342,0.769,4.3,1.6,1.6,0.2,1.1,8.7
122,Luka Doncic,0.478,0.327,0.815,10.1,9.2,1.4,0.1,4.6,30.3
123,Luguentz Dort,0,,,1,0,1,0,0,0
124,Damyean Dotson,0.417,0.315,0.769,1.6,1.1,0.5,0.2,0.6,5.9
125,Sekou Doumbouya,0.5,0,0,0.5,0,0,0,0,1.5
126,Goran Dragic,0.466,0.406,0.711,3.2,5,0.7,0.2,2.6,15.9
127,Andre Drummond,0.545,0,0.627,17,3.1,1.7,2,3.7,17.7
128,Jared Dudley,0.455,0.625,1,0.6,0.6,0.4,0.1,0.1,1.2
129,Kris Dunn,0.422,0.196,0.692,3.1,3,2,0.3,1,6.5
130,Carsen Edwards,0.313,0.313,0.846,1.8,0.9,0.4,0.1,0.6,4
131,Henry Ellenson,,,,0,0,0,0,0,0
132,Wayne Ellington,0.321,0.304,0.667,1.6,0.9,0.3,0.1,0.7,4.3
133,Joel Embiid,0.459,0.318,0.813,12.7,2.8,0.9,1.4,3.2,22.6
134,James Ennis,0.505,0.426,0.775,3.4,0.8,0.5,0.3,0.7,7.2
135,Drew Eubanks,0.5,,1,3.3,0.5,0,0.3,1,2.8
136,Jacob Evans,0.417,0.5,1,1.7,0.7,0,0,0.3,6
137,Dante Exum,0.471,0.5,1,1,0.6,0.1,0.2,0.9,2.2
138,Tacko Fall,0.5,,,3,0,0,0,1,4
139,Derrick Favors,0.621,0.5,0.333,8.9,2.1,0.6,0.4,1.6,8.3
140,Terrance Ferguson,0.424,0.354,0.778,1.9,1,0.5,0.3,0.7,5.7
141,Bruno Fernando,0.549,0.286,0.591,2.8,1.1,0.2,0.4,1,4.3
142,Yogi Ferrell,0.462,0.333,0.88,1.4,1.8,0.5,0.1,0.8,6
143,Dorian Finney-Smith,0.461,0.311,0.706,5,1,0.6,0.4,1,8.4
144,Bryn Forbes,0.418,0.362,0.838,2.5,2,0.5,0,0.7,12.9
145,Evan Fournier,0.487,0.444,0.843,2.9,3.2,1,0.2,2.1,19.7
